number,name,platform,release_date,summary,meta_score,user_review
11253,Ultimate Band, DS,"November 18, 2008","Ultimate Band for Nintendo DS is a rhythm-based music game with a built-in recording studio. Players can jam to current and classic songs using the drums, lead guitar, bass guitar, or rhythm guitar. Players can also create their own original songs using the DS touchscreen and stylus to lay down tracks for each instrument and apply creative mixing effects. Ultimate Band for Nintendo DS also includes DGamer functionality which allows players to engage with others in a secure online community via their DS (Wi-Fi or ad hoc) or computer. [Disney Interactive Studio]",69,0.0
11259,Master of Illusion, DS,"November 26, 2007","(Known as ""Magic Made Fun"" in the UK/EU) Unique magic tricks - possible only on the Nintendo DS - stun your audience in to saying ""How'd you do that?"" Become the master of your DS as you learn, perform and amaze your friends and family. The secrets of magic are now yours to behold. Step-by-step tutorials let you unlock the mystery of more than 20 tricks. Three individual modes make this game fun solo or with friends. A “special” deck of cards packaged with the game creates a fully portable magic kit. Now the fun extends beyond your Nintendo DS. Interactive tricks make the DS your magic assistant. Draw; speak; tap; instruct; and blow in to the microphone to astonish your audience. The learning curve keeps growing: unlock new tricks as you advance in skill. [Nintendo]",69,0.0
11282,Rally Fusion: Race of Champions, Xbox,"November 29, 2002","Tear up the turf and put your driving skills to the test as you battle it out for the Race of Champions crown. Rally Fusion: The Race of Champions pushes off-road racing to the limit with realistic damage, cars, and tracks. In one of 20 vehicles, you and your co-driver will grind, drift, and slide through a variety of terrain. Nothing less than a world-class performance will get you through different terrain, changing weather conditions, and challenging competitions against the world's top motorsport drivers.",69,0.0
11283,Age of Sail II: Privateer's Bounty, PC,"August 13, 2002","Now you too can lead the wooden fleets of the world's most powerful nautical powers into battle in the new standard of naval combat simulation, Age of Sail II: Privateer's Bounty. Never before has every aspect of nautical combat been so faithfully reproduced, from advanced sailing tactics, to the handling of your crews. It's time for you to accept your Letter of Marques, and immerse yourself into an epoch of adventure and intrigue, into the Age of Sail. [Global Star Software]",69,0.0
11291,Rhem 3: The Secret Library, PC,"February 28, 2008","In this intricate pure-puzzle first person adventure game for PC and Mac, the adventures of brothers Kales and Zetais continue in the mysterious land of RHEM. Like its predecessors, RHEM 3 features non-linear gameplay, non-violent story, and mind-bending puzzles. Set in a labyrinthine world of hidden rooms and secret passages, strange vehicles and odd machines, RHEM 3 opens the door to a new journey of mystery and adventure. In search of a certain black gem, hints hidden in a secret library and clues offered by the peculiar inhabitants of RHEM will assist you in your quest. With an adventurous spirit, logical thinking, and keen puzzle-solving, you will slowly but surely divine the location of this curious treasure and unveil the secret it holds. [Got Game]",69,0.0
11293,Full Spectrum Warrior: Ten Hammers, Xbox,"March 28, 2006","As squad leader, players coordinate the actions of multiple infantry fire teams, leading them through a variety of hostile environments. An intuitive control scheme allows direction of squads in real-time as players outthink, outmaneuver and outgun enemies through more than 12 levels of intense warfare. Players will utilize authentic battlefield tactics as they confront the enemy with a deadly arsenal of weapons, the latest military equipment, and new Player-controlled mechanized units. With an enhanced multiplayer mode, players can go online and battle friends through a variety of new head-to-head and co-op objective-based missions.",69,0.0
11297,Warsaw, Switch,"October 1, 2020","WARSAW is a challenging WWII turn-based tactical rpg taking place in a war torn city and sporting beautiful hand painted graphics. Lead a small, dedicated outfit of civilians and soldiers with their unique skills in their fight to take back the city besieged by occupying forces.",69,0.0
11305,Starwhal, Xbox One,"December 9, 2015","Flop it out with up to 4 players in a retro, epic narwhal battle in space.",69,0.0
11311,Transformers Animated: The Game, DS,"October 21, 2008","Based on the television series, Transformers Animated: The Game delivers an exciting action-adventure experience. As they blast through Decepticon-controlled hoverbots, players solve challenging team-building puzzles and race through futuristic Detroit roadways, dodging on-coming traffic while seamlessly morphing between robot and vehicle form. Fans take control of all their favorite Autobot characters, including Optimus Prime, Bumblebee, Bulkhead and Prowl, as they work together to reclaim the lost fragments of the Allspark before the Decepticons intercept it and claim Cybertron as their own.",69,0.0
11319,Disco Dodgeball Remix, PlayStation 4,"May 22, 2018","Disco Dodgeball Remix is a ridiculous physics-based future-sport amalgamation with robots, one-hit-kill projectile combat, and crazy dodgeball action.",69,0.0
11325,Disney's Cinderella: Magical Dreams, Game Boy Advance,"September 20, 2005","In Cinderella: Magical Dreams, you can relive the classic Cinderella story from one of three perspectives: Cinderella, the mice, or the Fairy Godmother.",69,0.0
11339,IndyCar Series, PlayStation 2,"May 21, 2003","The main game offers immediate high-paced action and player-friendly handling, making the feel both authentic and realistic. It is easy to pick up and play and offers a dynamic difficulty management system to keep the action packed, 200mph maneuvers coming thick and fast. Modes include Quick Race, IndyCar Series Season, and The Indy 500. Features realistic AI and team tactics modeled after real IndyCar Series drivers and tems. Learn more about IndyCar Series tactics from the Masterclass, taught by Indianapolis 500 winner Eddie Cheever Jr. Create your own racing drivers and teams with your own personalized car. IndyCar Series TV-style presentation, which enhances the immersive gameplay experience. [Codemasters]",69,0.0
